its,load_time(us),get_time(us)
1038,3332,28,14
1039,3753,51,14
1040,3333,43,15
1041,3402,27,26
1042,3616,59,13
1043,3252,27,13
1044,3708,51,14
1045,3320,49,13
1046,3285,25,13
1047,3648,49,13
1048,3293,45,13
1049,3256,24,13
1050,3626,52,13
1051,3252,45,23
1052,3548,25,13
1053,3352,50,14
1054,3339,46,13
1055,3676,26,14
1056,3257,49,13
1057,3261,42,13
1058,3598,28,14
1059,3298,72,26
1060,3471,32,11
1061,3428,26,13
1062,3300,43,14
1063,3751,24,13
1064,3333,50,14
1065,3299,42,14
1066,3663,31,14
1067,3358,53,13
1068,3370,39,28
1069,4718,49,19
1070,4634,99,18
1071,4448,76,16
1072,3366,29,13
1073,3746,55,13
1074,3343,43,13
1075,3362,24,13
1076,3647,48,13
1077,3251,63,27
1078,3343,21,12
1079,3524,42,12
1080,3299,23,13
1081,3719,45,13
1082,3324,39,13
1083,3289,23,15
1084,3819,44,13
1085,3307,39,14
1086,3289,28,28
1087,3636,51,66
1088,3293,42,14
1089,3672,24,13
1090,3331,44,13
1091,3303,37,12
1092,3633,26,13
1093,3316,44,13
1094,3410,42,13
1095,3603,25,13
1096,3249,41,13
1097,3728,42,13
1098,3289,24,13
1099,3254,39,14
1100,3688,31,12
1101,3303,47,13
1102,3303,40,15
1103,3669,27,13
1104,3321,49,15
1105,3572,38,13
1106,3334,25,13
1107,3332,47,15
1108,3593,56,14
1109,3335,25,14
1110,3332,47,14
1111,3617,56,14
1112,3331,26,15
1113,3537,37,13
1114,3340,45,14
1115,3332,25,13
1116,3496,51,14
1117,3332,26,17
1118,3330,44,13
1119,3498,55,14
1120,3329,27,13
1121,3484,37,13
1122,3327,45,14
1123,3334,27,14
1124,3492,54,15
1125,3332,48,14
1126,3334,26,14
1127,3534,56,14
1128,3338,45,14
1129,3499,25,13
1130,3328,50,13
1131,3334,45,14
1132,3491,30,13
1133,3332,49,13
1134,3332,26,14
1135,3486,56,15
1136,3332,48,14
1137,3557,26,14
1138,3344,49,14
1139,3332,47,15
1140,3740,29,14
1141,3331,51,14
1142,3339,47,15
1143,3507,31,15
1144,3331,50,14
1145,3596,52,19
1146,3350,26,15
1147,3327,47,15
1148,3914,56,14
1149,3333,26,13
1150,3346,47,15
1151,3636,54,15
